grid_lat,grid_lon,detections,active_days,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,static_detections,vegetation_detections
23.62,86.79,144,112,1.5786805555555556,6.99,305.42298611111113,332.71,144,0
21.07,85.04,174,111,1.6889080459770116,4.41,306.0540229885058,330.71,172,2
23.67,85.0,138,111,1.4860144927536232,7.82,304.5044927536232,345.34,134,4
22.32,82.56,229,110,2.6816593886462883,11.91,317.0976419213974,351.08,162,67
23.7,85.29,154,110,1.2055194805194807,3.61,304.25493506493507,327.91,34,120
22.59,85.91,153,110,1.518954248366013,7.5,308.9547712418301,335.54,149,4
15.17,76.66,160,108,2.7575624999999997,16.42,316.81062499999996,349.12,158,2
23.61,87.15,150,106,1.1837333333333333,3.36,302.2536,315.82,149,1
23.73,86.44,146,106,2.1036301369863013,9.3,306.75835616438354,342.96,134,12
20.94,86.06,139,106,1.650431654676259,5.13,307.2390647482015,333.81,136,3
22.06,88.12,145,104,2.567862068965517,21.37,314.9715862068965,344.23,143,2
19.79,79.15,117,104,1.8205128205128205,5.6,308.5379487179487,335.35,117,0
21.78,83.83,177,103,1.8248587570621468,6.5,308.7820903954802,339.49,167,10
23.16,82.34,143,103,2.0254545454545454,8.44,311.9388811188811,347.59,140,3
27.67,76.13,119,101,1.4942016806722689,4.88,305.10117647058826,315.6,106,13
20.96,86.01,171,100,3.977426900584795,33.19,321.11058479532164,367.0,164,7
23.81,86.32,119,99,2.5958823529411768,8.65,307.93957983193275,331.04,117,2
22.32,82.53,118,99,1.3719491525423728,3.75,305.15491525423727,316.79,108,10
24.12,86.86,125,98,1.1,4.06,304.22535999999997,313.15,27,98
23.27,70.26,114,98,1.0693859649122808,2.45,305.76,321.57,111,3
27.47,95.42,139,97,0.8988489208633094,2.36,305.4512949640288,335.35,137,2
23.48,87.36,128,97,1.6475,5.24,306.6415625,341.26,127,1
27.61,95.4,120,97,1.1791666666666667,4.0,308.6755,339.99,108,12
22.11,83.53,113,97,2.2161061946902656,6.32,316.5964601769912,346.23,81,32
20.96,85.18,153,96,2.3502614379084967,7.43,311.918954248366,339.83,153,0
21.0,86.01,135,96,2.365851851851852,14.66,313.8175555555556,367.0,96,39
23.77,86.36,112,96,2.3312500000000003,6.82,313.1624107142857,345.11,95,17
22.86,86.06,110,96,1.054181818181818,3.62,303.4128181818181,330.26,107,3
21.99,83.23,108,96,1.6998148148148147,5.43,309.6878703703704,339.27,106,2
23.72,85.01,105,96,0.8523809523809524,2.85,302.57533333333333,312.18,104,1
22.05,83.73,132,95,4.141742424242424,24.28,319.00363636363636,367.0,122,10
21.23,79.63,123,95,1.4898373983739837,7.61,306.6422764227642,331.73,121,2
18.69,73.03,105,95,1.9034285714285712,5.44,309.1012380952381,342.52,102,3
20.78,85.26,122,94,1.8888524590163933,7.94,308.10073770491806,332.88,122,0
21.93,83.34,121,94,2.57702479338843,9.25,310.04223140495867,345.64,79,5
29.91,74.95,152,93,3.279934210526316,35.3,315.79506578947365,367.0,151,1
15.18,76.67,133,93,2.7412030075187968,15.79,317.59233082706766,348.1,128,5
26.27,74.19,133,93,1.4060902255639096,3.17,304.5340601503759,316.48,119,14
19.92,79.11,101,92,1.195049504950495,4.83,304.34801980198023,313.23,100,1
24.19,82.58,139,91,1.2649640287769786,3.44,306.91503597122306,336.63,117,22
22.22,84.75,122,91,1.3568852459016392,2.49,301.4654918032787,309.31,122,0
22.27,75.13,102,91,1.4472549019607843,5.93,305.86607843137256,316.15,101,1
24.76,74.61,101,91,1.8753465346534652,7.38,310.3627722772277,334.57,101,0
23.77,86.37,119,90,1.8535294117647059,5.74,307.7591596638656,345.47,105,14
23.73,86.43,114,90,2.777280701754386,8.15,313.1616666666667,341.54,64,50
23.75,85.51,99,90,1.1438383838383839,2.87,306.2151515151515,334.83,98,1
15.02,78.01,93,89,1.4954838709677418,4.5,310.18032258064517,335.93,93,0
22.03,83.36,130,88,1.4616923076923078,3.03,302.2974615384615,311.82,130,0
23.8,87.05,106,88,2.349622641509434,7.41,306.3416037735849,337.34,106,0
22.88,86.06,102,88,1.435,5.39,307.68686274509804,335.63,101,1
15.17,76.67,167,87,2.752754491017964,23.41,315.34904191616766,351.2,160,7
22.02,83.38,94,87,1.044255319148936,2.48,305.0846808510638,316.48,93,1
22.32,82.59,127,86,2.227716535433071,9.6,315.34874015748034,345.15,53,74
21.86,83.97,93,86,1.2053763440860215,3.63,305.05118279569894,316.61,70,23
23.77,86.38,131,85,1.998091603053435,5.5,305.0210687022901,327.71,131,0
21.97,85.31,97,85,0.9117525773195876,4.06,302.91237113402065,313.27,96,1
19.96,79.33,96,85,1.6914583333333333,7.83,312.9967708333333,342.35,92,4
21.88,83.56,96,85,1.1971875,2.87,305.7225,332.7,88,8
22.26,75.13,95,85,1.8270526315789473,10.67,306.8655789473684,318.55,94,1
23.43,68.71,95,85,1.2141052631578948,3.76,304.9538947368421,339.64,85,10
21.75,84.02,95,84,1.938315789473684,7.37,307.93663157894736,337.62,95,0
26.87,73.52,93,84,1.1534408602150537,4.0,302.8959139784946,314.06,93,0
23.81,84.85,120,83,1.62825,7.12,309.75483333333335,347.45,115,5
20.97,85.16,118,83,1.9141525423728813,13.84,307.45245762711863,340.54,116,2
27.32,95.27,111,83,1.1039639639639638,3.45,308.7507207207207,337.74,111,0
22.94,69.7,105,83,1.2763809523809524,5.93,308.3027619047619,339.32,105,0
21.19,81.42,100,83,3.9248000000000003,20.97,323.4836,367.0,99,1
26.88,73.51,99,83,1.1622222222222223,2.62,302.47080808080807,312.71,95,4
23.01,70.1,97,82,1.2077319587628867,10.4,306.85536082474226,341.49,88,9
24.45,83.04,93,82,0.988494623655914,3.09,301.8432258064516,312.74,92,1
22.78,86.2,99,81,2.196969696969697,7.3,309.32969696969695,342.31,97,2
21.88,83.5,84,81,1.2961904761904761,10.1,305.96488095238095,335.05,82,2
23.67,86.42,153,80,1.6538562091503268,4.73,308.15633986928106,335.95,134,17
23.67,86.4,100,79,2.105,6.73,308.9029,339.9,98,2
23.55,87.25,93,79,1.6413978494623656,3.97,307.5312903225806,334.5,24,2
23.79,86.37,85,79,1.158705882352941,2.95,303.7436470588235,314.44,84,1
22.02,83.75,152,78,2.626447368421053,8.71,317.0621052631579,348.41,3,149
21.2,81.42,94,78,4.499042553191489,23.03,325.4827659574468,367.0,93,1
11.81,77.92,108,77,2.0096296296296297,10.69,313.5774074074074,344.47,106,2
22.98,72.57,93,77,1.475268817204301,10.14,310.28655913978497,342.79,43,50
23.83,85.5,90,77,1.4982222222222223,3.13,304.8113333333333,317.47,84,6
21.3,81.61,88,77,1.1182954545454544,6.14,305.5396590909091,341.15,87,1
24.69,73.0,87,77,1.3370114942528735,3.61,305.8618390804598,330.19,87,0
23.63,86.29,105,76,1.6622857142857141,7.83,309.1921904761905,342.37,98,7
21.18,81.38,100,76,1.8021,5.08,307.61650000000003,332.39,59,3
26.88,73.52,87,76,1.1360919540229886,3.25,301.54160919540226,311.74,86,1
23.76,86.41,92,75,2.776086956521739,13.74,314.6258695652174,348.74,78,14
23.8,86.35,90,75,1.9643333333333333,4.85,307.14522222222223,333.12,86,4
23.75,86.4,89,75,1.7147191011235956,7.02,305.1225842696629,332.77,85,4
23.32,70.49,78,75,1.0797435897435896,2.07,305.71294871794873,315.61,76,2
24.16,82.67,114,74,1.5092982456140351,6.22,311.0807017543859,340.76,52,62
23.81,84.84,100,74,1.5104,5.26,305.9857,341.48,78,22
22.22,84.76,92,74,1.2075,2.63,301.9909782608696,313.07,86,6
23.66,86.92,85,74,1.6107058823529412,6.64,308.63176470588235,344.38,85,0
23.55,86.54,77,74,1.1487012987012988,3.88,303.7444155844156,313.5,75,2
15.15,76.71,86,73,0.968139534883721,5.52,305.2660465116279,338.01,80,6
23.74,86.42,86,73,1.7301162790697673,4.7,306.256511627907,330.75,85,1
20.86,84.99,80,73,1.7195,6.15,311.260625,336.92,79,1
11.82,77.92,78,73,1.7042307692307692,3.69,311.76461538461535,332.04,78,0
23.99,79.39,78,73,1.232179487179487,3.69,304.5496153846154,316.5,77,1
